semilla,tamano_poblacion,probabilidad_cruce,probabilidad_mutacion,numero_iteraciones,tiempo_ejecucion,mejor_generacion,mejor_makespan,mejor_solucion
1,80,0.9,0.15,200,6.64948879997246,143,3357,"[28, 42, 9, 15, 43, 19, 5, 20, 7, 32, 12, 8, 6, 25, 35, 30, 24, 45, 41, 11, 17, 29, 1, 33, 49, 3, 13, 48, 40, 2, 37, 16, 10, 4, 44, 27, 14, 34, 18, 47, 39, 22, 0, 21, 31, 46, 38, 36, 26, 23]"
2,80,0.9,0.15,200,8.546359200030565,158,3331,"[40, 29, 13, 19, 41, 30, 7, 17, 37, 45, 33, 36, 28, 47, 32, 5, 25, 11, 24, 23, 14, 3, 46, 10, 27, 43, 34, 42, 15, 21, 35, 1, 12, 18, 2, 9, 31, 38, 20, 22, 0, 6, 16, 26, 4, 49, 39, 8, 48, 44]"
3,80,0.9,0.15,200,6.572928499954287,188,3359,"[5, 13, 43, 36, 24, 29, 45, 31, 17, 18, 33, 30, 22, 40, 1, 47, 15, 41, 32, 12, 2, 20, 46, 37, 42, 7, 11, 38, 19, 35, 3, 0, 23, 49, 9, 14, 16, 27, 21, 6, 10, 4, 39, 25, 26, 8, 34, 28, 48, 44]"
4,80,0.9,0.15,200,6.469376499997452,196,3369,"[36, 9, 33, 30, 24, 42, 26, 11, 0, 32, 41, 15, 7, 19, 18, 37, 12, 34, 22, 27, 47, 2, 17, 3, 43, 35, 16, 21, 31, 45, 46, 39, 29, 8, 4, 20, 38, 25, 10, 1, 6, 48, 5, 14, 13, 44, 28, 40, 23, 49]"
5,80,0.9,0.15,200,8.060780200001318,159,3361,"[32, 2, 29, 24, 28, 1, 19, 22, 0, 6, 9, 26, 11, 37, 17, 3, 40, 47, 35, 25, 13, 42, 23, 41, 15, 48, 4, 45, 39, 34, 14, 27, 43, 16, 33, 30, 36, 10, 8, 44, 18, 31, 12, 5, 46, 20, 21, 38, 49, 7]"
6,80,0.9,0.15,200,7.943252400029451,197,3323,"[42, 40, 24, 27, 2, 17, 1, 6, 21, 0, 9, 22, 13, 10, 12, 33, 43, 37, 45, 14, 48, 49, 39, 8, 41, 32, 29, 19, 25, 4, 36, 35, 30, 31, 34, 28, 3, 23, 18, 20, 7, 15, 16, 47, 26, 5, 38, 46, 11, 44]"
7,80,0.9,0.15,200,6.3765824000001885,131,3299,"[24, 32, 17, 27, 45, 21, 41, 42, 9, 6, 1, 31, 22, 5, 37, 30, 13, 35, 3, 2, 48, 19, 29, 8, 33, 16, 18, 11, 20, 40, 25, 15, 0, 38, 46, 12, 47, 14, 43, 10, 28, 49, 36, 39, 26, 4, 34, 7, 44, 23]"
8,80,0.9,0.15,200,7.024433099955786,152,3400,"[24, 23, 35, 15, 21, 30, 49, 37, 40, 19, 9, 28, 36, 33, 7, 20, 13, 34, 32, 48, 45, 2, 3, 22, 8, 17, 12, 11, 14, 27, 31, 41, 5, 0, 47, 39, 18, 42, 6, 10, 43, 29, 16, 4, 46, 44, 1, 25, 38, 26]"
9,80,0.9,0.15,200,6.4247857999871485,142,3321,"[42, 19, 28, 33, 37, 39, 32, 7, 9, 14, 30, 15, 27, 48, 29, 41, 8, 2, 34, 18, 13, 36, 31, 46, 22, 1, 0, 21, 10, 3, 17, 5, 43, 16, 6, 35, 45, 49, 12, 4, 24, 40, 20, 23, 11, 38, 47, 25, 26, 44]"
10,80,0.9,0.15,200,7.270301599986851,191,3317,"[21, 5, 1, 42, 27, 6, 43, 32, 3, 35, 48, 17, 14, 40, 45, 37, 22, 15, 47, 23, 24, 41, 39, 10, 26, 30, 33, 8, 11, 20, 9, 25, 46, 31, 49, 19, 7, 28, 16, 34, 18, 36, 13, 4, 29, 12, 2, 0, 38, 44]"
