semilla,tamano_poblacion,probabilidad_cruce,probabilidad_mutacion,numero_iteraciones,tiempo_ejecucion,mejor_generacion,mejor_makespan,mejor_solucion
1,120,0.9,0.15,800,37.38098970003193,72,3322,"[17, 48, 18, 22, 24, 13, 7, 36, 10, 8, 21, 29, 37, 9, 3, 14, 41, 26, 43, 39, 33, 32, 5, 42, 46, 15, 16, 1, 12, 35, 2, 44, 30, 27, 28, 40, 20, 4, 23, 11, 19, 25, 0, 49, 47, 31, 38, 34, 45, 6]"
2,120,0.9,0.15,800,40.76086929999292,631,3237,"[21, 32, 35, 1, 28, 29, 3, 19, 40, 9, 10, 18, 39, 34, 31, 37, 12, 30, 8, 0, 13, 15, 43, 41, 14, 24, 47, 11, 17, 16, 2, 26, 22, 5, 45, 42, 7, 36, 33, 49, 4, 23, 27, 20, 6, 25, 46, 48, 44, 38]"
1,120,0.9,0.15,800,39.16191319999052,72,3322,"[17, 48, 18, 22, 24, 13, 7, 36, 10, 8, 21, 29, 37, 9, 3, 14, 41, 26, 43, 39, 33, 32, 5, 42, 46, 15, 16, 1, 12, 35, 2, 44, 30, 27, 28, 40, 20, 4, 23, 11, 19, 25, 0, 49, 47, 31, 38, 34, 45, 6]"
3,120,0.9,0.15,800,28.263274299970362,486,3286,"[24, 42, 41, 32, 34, 6, 44, 35, 40, 45, 20, 37, 25, 13, 27, 19, 2, 18, 28, 1, 33, 0, 9, 26, 39, 29, 16, 15, 22, 3, 43, 10, 46, 17, 30, 12, 5, 36, 7, 8, 21, 4, 49, 48, 31, 14, 38, 47, 11, 23]"
4,120,0.9,0.15,800,22.59193019999657,726,3326,"[17, 24, 43, 29, 19, 33, 35, 30, 42, 7, 34, 10, 3, 13, 32, 37, 23, 44, 14, 39, 8, 28, 27, 12, 26, 31, 2, 4, 48, 40, 16, 45, 11, 38, 1, 47, 6, 22, 15, 41, 5, 36, 46, 25, 20, 21, 49, 0, 18, 9]"
5,120,0.9,0.15,800,23.658068799995817,766,3218,"[24, 33, 0, 35, 2, 17, 47, 48, 41, 25, 19, 28, 34, 40, 14, 18, 36, 37, 3, 13, 31, 11, 45, 32, 12, 9, 27, 46, 21, 5, 20, 30, 23, 42, 4, 26, 1, 43, 16, 15, 49, 6, 22, 39, 10, 29, 38, 8, 7, 44]"
6,120,0.9,0.15,800,29.16543890000321,789,3259,"[28, 32, 21, 18, 1, 9, 43, 19, 2, 10, 0, 17, 12, 48, 42, 30, 14, 37, 41, 15, 36, 22, 33, 27, 3, 44, 26, 46, 23, 20, 25, 49, 45, 39, 29, 13, 5, 8, 34, 6, 11, 31, 47, 35, 16, 7, 4, 38, 40, 24]"
7,120,0.9,0.15,800,24.6179686000105,786,3320,"[28, 33, 7, 17, 30, 1, 36, 13, 43, 35, 6, 42, 37, 4, 39, 3, 27, 49, 48, 16, 40, 32, 0, 21, 31, 34, 25, 15, 18, 45, 29, 12, 46, 9, 8, 20, 23, 47, 14, 10, 19, 5, 44, 38, 2, 41, 26, 11, 22, 24]"
8,120,0.9,0.15,800,24.257926399994176,653,3290,"[17, 37, 14, 39, 28, 9, 41, 24, 2, 22, 13, 3, 29, 18, 42, 15, 16, 33, 1, 46, 12, 7, 35, 36, 6, 40, 31, 32, 34, 4, 45, 8, 19, 30, 21, 10, 20, 48, 0, 26, 43, 27, 38, 49, 5, 25, 44, 11, 47, 23]"
9,120,0.9,0.15,800,24.402758899959736,706,3284,"[5, 9, 32, 6, 11, 28, 40, 1, 12, 18, 19, 33, 23, 25, 48, 21, 36, 27, 35, 45, 46, 20, 3, 13, 43, 8, 2, 37, 4, 0, 7, 41, 17, 42, 29, 16, 14, 10, 26, 39, 15, 34, 22, 24, 49, 47, 31, 38, 30, 44]"
10,120,0.9,0.15,800,24.442619599984027,659,3307,"[19, 37, 11, 1, 17, 42, 29, 32, 24, 41, 48, 21, 26, 16, 6, 13, 35, 30, 3, 25, 36, 20, 33, 34, 22, 5, 14, 9, 4, 8, 46, 15, 47, 40, 27, 12, 0, 44, 2, 18, 23, 10, 49, 45, 39, 43, 28, 31, 7, 38]"
