semilla,tamano_poblacion,probabilidad_cruce,probabilidad_mutacion,numero_iteraciones,tiempo_ejecucion,mejor_generacion,mejor_makespan,mejor_solucion
1,100,0.8,0.2,100,0.2676176999998461,92,1297,"[18, 5, 8, 7, 15, 6, 10, 14, 13, 16, 2, 0, 1, 12, 3, 4, 17, 11, 9, 19]"
2,100,0.8,0.2,100,0.27262400000017806,73,1320,"[14, 8, 16, 5, 7, 17, 6, 3, 13, 10, 2, 11, 18, 4, 12, 1, 15, 0, 9, 19]"
3,100,0.8,0.2,100,0.2860402000001159,74,1297,"[2, 14, 5, 0, 4, 15, 6, 18, 3, 8, 13, 7, 10, 12, 16, 1, 17, 11, 9, 19]"
4,100,0.8,0.2,100,0.27341189999970084,3,1324,"[8, 10, 14, 12, 2, 15, 6, 16, 1, 13, 5, 3, 7, 4, 11, 18, 0, 9, 17, 19]"
5,100,0.8,0.2,100,0.2791909000002306,90,1297,"[14, 16, 15, 5, 2, 12, 18, 3, 10, 6, 13, 7, 8, 4, 17, 11, 1, 0, 9, 19]"
6,100,0.8,0.2,100,0.26823800000011033,43,1298,"[14, 8, 18, 6, 10, 2, 5, 0, 13, 15, 9, 3, 4, 17, 11, 16, 1, 12, 7, 19]"
7,100,0.8,0.2,100,0.27023860000008426,47,1297,"[14, 7, 3, 8, 5, 1, 4, 0, 13, 15, 16, 17, 18, 2, 6, 10, 12, 11, 9, 19]"
8,100,0.8,0.2,100,0.274350400000003,34,1302,"[12, 8, 3, 13, 2, 10, 4, 7, 14, 15, 0, 16, 17, 18, 6, 11, 5, 1, 9, 19]"
9,100,0.8,0.2,100,0.26880670000036844,74,1305,"[8, 12, 3, 10, 13, 5, 15, 2, 4, 0, 16, 1, 14, 17, 11, 7, 18, 9, 6, 19]"
10,100,0.8,0.2,100,0.2656262999998944,20,1324,"[2, 13, 15, 3, 10, 12, 5, 8, 16, 7, 4, 14, 18, 6, 9, 11, 0, 1, 17, 19]"
11,100,0.8,0.2,100,0.31218559999979334,58,1323,"[5, 18, 12, 16, 13, 10, 2, 14, 4, 8, 7, 6, 19, 15, 0, 17, 3, 1, 9, 11]"
12,100,0.8,0.2,100,0.2648490999999922,95,1303,"[14, 15, 5, 16, 0, 8, 3, 18, 9, 4, 6, 10, 13, 2, 17, 7, 11, 1, 12, 19]"
13,100,0.8,0.2,100,0.2635216000003311,54,1297,"[16, 7, 10, 14, 5, 8, 12, 13, 4, 6, 18, 2, 3, 15, 0, 17, 11, 9, 1, 19]"
14,100,0.8,0.2,100,0.3151069999998981,91,1305,"[5, 10, 14, 8, 12, 0, 16, 3, 18, 4, 13, 2, 17, 6, 11, 15, 7, 1, 9, 19]"
15,100,0.8,0.2,100,0.27545629999985977,27,1297,"[0, 16, 14, 3, 18, 5, 8, 2, 7, 6, 10, 17, 4, 15, 13, 9, 11, 1, 12, 19]"
16,100,0.8,0.2,100,0.27087159999973665,40,1317,"[14, 7, 10, 2, 12, 0, 18, 16, 1, 5, 4, 8, 6, 13, 9, 15, 3, 17, 19, 11]"
17,100,0.8,0.2,100,0.3056288000002496,39,1297,"[5, 18, 12, 3, 7, 2, 13, 8, 16, 0, 15, 4, 6, 14, 10, 1, 17, 11, 9, 19]"
18,100,0.8,0.2,100,0.26770059999989826,44,1297,"[16, 14, 18, 13, 2, 3, 0, 8, 15, 12, 5, 17, 1, 11, 7, 4, 6, 10, 9, 19]"
19,100,0.8,0.2,100,0.27702940000017406,52,1305,"[14, 0, 16, 8, 7, 12, 10, 5, 3, 4, 15, 2, 13, 1, 11, 17, 18, 9, 6, 19]"
20,100,0.8,0.2,100,0.30537150000009206,84,1305,"[7, 16, 5, 13, 15, 3, 1, 14, 2, 8, 12, 10, 4, 11, 17, 0, 18, 9, 6, 19]"
21,100,0.8,0.2,100,0.2763230000000476,49,1322,"[16, 13, 0, 10, 3, 15, 7, 2, 4, 14, 6, 11, 8, 5, 18, 17, 9, 1, 12, 19]"
22,100,0.8,0.2,100,0.27640169999995123,28,1297,"[16, 12, 13, 2, 3, 8, 0, 14, 10, 7, 18, 15, 4, 6, 5, 17, 11, 1, 9, 19]"
23,100,0.8,0.2,100,0.2670186000000285,56,1305,"[0, 18, 5, 16, 7, 2, 13, 15, 4, 10, 14, 12, 8, 3, 11, 1, 17, 9, 6, 19]"
24,100,0.8,0.2,100,0.2702926000001753,45,1297,"[14, 8, 13, 3, 15, 2, 5, 18, 4, 12, 10, 16, 6, 0, 9, 7, 17, 11, 1, 19]"
