semilla,tamano_poblacion,probabilidad_cruce,probabilidad_mutacion,numero_iteraciones,tiempo_ejecucion,mejor_generacion,mejor_makespan,mejor_solucion
1,100,0.8,0.2,100,150.43079119999993,3,1278,"[8, 14, 5, 4, 16, 7, 3, 18, 13, 17, 15, 12, 6, 10, 1, 2, 0, 9, 19, 11]"
2,100,0.8,0.2,100,148.1758739999998,6,1278,"[8, 14, 7, 18, 13, 16, 12, 10, 5, 4, 17, 6, 15, 3, 1, 0, 2, 9, 19, 11]"
3,100,0.8,0.2,100,177.1857884000001,1,1278,"[8, 14, 5, 2, 3, 18, 16, 13, 4, 17, 7, 1, 6, 10, 0, 15, 12, 9, 19, 11]"
4,100,0.8,0.2,100,226.1800704000002,3,1278,"[8, 14, 16, 13, 5, 3, 10, 2, 12, 18, 4, 7, 17, 6, 0, 1, 15, 9, 19, 11]"
5,100,0.8,0.2,100,154.5592985999997,6,1278,"[8, 14, 5, 2, 6, 10, 12, 16, 4, 17, 15, 3, 1, 7, 0, 18, 13, 9, 19, 11]"
6,100,0.8,0.2,100,157.99457789999997,3,1278,"[8, 14, 16, 12, 2, 3, 15, 5, 7, 1, 13, 17, 18, 0, 4, 6, 10, 9, 19, 11]"
7,100,0.8,0.2,100,157.11293999999998,3,1278,"[8, 16, 14, 7, 5, 18, 0, 17, 15, 12, 3, 2, 4, 6, 10, 1, 13, 9, 19, 11]"
8,100,0.8,0.2,100,157.9447795000001,1,1278,"[8, 14, 5, 2, 13, 0, 15, 7, 16, 17, 4, 6, 10, 12, 18, 3, 1, 9, 19, 11]"
9,100,0.8,0.2,100,157.2500688,6,1278,"[8, 16, 14, 2, 5, 13, 0, 18, 17, 6, 7, 10, 4, 3, 1, 15, 12, 9, 19, 11]"
10,100,0.8,0.2,100,157.2795575,9,1278,"[8, 14, 5, 2, 16, 12, 13, 15, 7, 4, 6, 10, 17, 0, 1, 3, 18, 9, 19, 11]"
11,100,0.8,0.2,100,153.54954610000004,2,1278,"[16, 8, 14, 5, 12, 10, 0, 13, 2, 4, 18, 7, 3, 1, 6, 17, 15, 9, 19, 11]"
12,100,0.8,0.2,100,159.17350540000007,1,1278,"[8, 14, 5, 13, 16, 18, 0, 4, 3, 1, 7, 2, 17, 6, 10, 15, 12, 9, 19, 11]"
13,100,0.8,0.2,100,155.79057039999998,1,1278,"[8, 14, 5, 2, 12, 3, 10, 4, 6, 7, 18, 16, 1, 0, 17, 15, 13, 9, 19, 11]"
14,100,0.8,0.2,100,157.594063,1,1278,"[8, 14, 2, 7, 15, 12, 5, 16, 0, 1, 13, 3, 4, 17, 6, 10, 18, 9, 19, 11]"
15,100,0.8,0.2,100,160.02432880000015,2,1278,"[8, 14, 5, 4, 16, 13, 17, 18, 3, 2, 0, 15, 7, 1, 6, 10, 12, 9, 19, 11]"
16,100,0.8,0.2,100,165.67802070000016,2,1278,"[8, 14, 5, 16, 2, 17, 15, 13, 12, 7, 18, 6, 10, 4, 3, 0, 1, 9, 19, 11]"
17,100,0.8,0.2,100,175.53340970000045,4,1278,"[8, 14, 5, 4, 18, 3, 2, 7, 0, 16, 1, 13, 17, 15, 6, 10, 12, 9, 19, 11]"
18,100,0.8,0.2,100,185.82678750000014,5,1278,"[8, 14, 16, 13, 10, 12, 4, 0, 5, 18, 17, 2, 6, 15, 7, 3, 1, 9, 19, 11]"
19,100,0.8,0.2,100,182.75403339999957,3,1278,"[8, 14, 7, 5, 10, 13, 18, 2, 16, 12, 3, 4, 6, 0, 1, 17, 15, 9, 19, 11]"
20,100,0.8,0.2,100,174.0478620999993,3,1278,"[8, 14, 5, 16, 2, 4, 6, 7, 13, 10, 17, 15, 12, 3, 1, 0, 18, 9, 19, 11]"
21,100,0.8,0.2,100,143.12678030000006,3,1278,"[8, 14, 5, 15, 13, 2, 16, 12, 7, 4, 3, 18, 17, 6, 10, 1, 0, 9, 19, 11]"
22,100,0.8,0.2,100,292.92465280000033,4,1278,"[8, 14, 16, 5, 4, 10, 12, 13, 7, 18, 17, 6, 15, 3, 1, 0, 2, 9, 19, 11]"
23,100,0.8,0.2,100,183.7253538999994,1,1278,"[8, 14, 13, 10, 5, 16, 4, 2, 7, 6, 0, 18, 3, 1, 12, 17, 15, 9, 19, 11]"
24,100,0.8,0.2,100,180.33323100000052,1,1278,"[8, 14, 5, 16, 2, 13, 15, 7, 12, 0, 18, 17, 3, 1, 4, 6, 10, 9, 19, 11]"
25,100,0.8,0.2,100,187.64923810000073,2,1278,"[8, 14, 5, 4, 16, 13, 18, 12, 7, 6, 10, 0, 17, 2, 15, 3, 1, 9, 19, 11]"
26,100,0.8,0.2,100,166.1798536999995,1,1278,"[16, 2, 14, 5, 8, 3, 0, 18, 13, 1, 7, 4, 17, 15, 12, 6, 10, 9, 19, 11]"
27,100,0.8,0.2,100,145.2635295,5,1278,"[16, 7, 8, 13, 10, 2, 14, 12, 3, 18, 5, 4, 17, 6, 0, 15, 1, 9, 19, 11]"
28,100,0.8,0.2,100,153.58015720000003,1,1278,"[8, 14, 5, 16, 2, 13, 18, 6, 7, 10, 4, 3, 1, 12, 17, 15, 0, 9, 19, 11]"
29,100,0.8,0.2,100,149.19373509999969,3,1278,"[8, 14, 5, 7, 18, 12, 2, 16, 3, 17, 13, 15, 6, 10, 4, 0, 1, 9, 19, 11]"
30,100,0.8,0.2,100,147.22813939999924,2,1278,"[8, 14, 5, 2, 3, 1, 13, 16, 0, 17, 7, 15, 4, 18, 6, 10, 12, 9, 19, 11]"
